KONAMI ID,レアリティ,カード名
4007,UR,青眼の白龍
4008,N,ホーリー・エルフ
4009,N,サイクロプス
4010,N,ベビードラゴン
4011,N,ガーゴイル
4012,N,グレムリン
4013,N,砦を守る翼竜
4014,N,きのこマン
4015,N,ヘルバウンド
4016,N,暗黒の竜王
4017,N,剣竜
4018,N,バーバリアン2号
4019,N,タイホーン
4020,N,牛魔人
4021,R,炎の剣士
4022,R,時の魔術師
4023,N,封印されし者の右足
4024,N,封印されし者の左足
4025,N,封印されし者の右腕
4026,N,封印されし者の左腕
4027,SR,封印されしエクゾディア
4028,SR,デーモンの召喚
4029,N,邪悪なるワーム・ビースト
4030,N,ワイト
4031,N,インプ
4032,N,ミノタウルス
4033,N,ルイーズ
4034,N,岩窟魔人オーガ・ロック
4035,N,マウンテン・ウォーリアー
4036,N,アンデット・ウォーリアー
4037,N,デビル・ドラゴン
4038,N,二頭を持つキング・レックス
4039,R,ジャッジ・マン
4040,N,闇・道化師のサギー
4041,UR,ブラック・マジシャン
4041,UR,ブラック・マジシャン
4042,N,メデューサの亡霊
4043,N,竜騎士ガイア
4044,N,暗黒騎士ガイア
4045,N,カース・オブ・ドラゴン
4046,N,壺魔人
4047,R,エルフの剣士
4048,N,幻想師・ノー・フェイス
4049,N,カルボナーラ戦士
4050,N,ホーリー・ドール
4051,N,エレキッズ
4052,N,グリフォール
4053,N,サイガー
4054,R,クリッター
4055,N,ビック・アント
4056,N,昆虫人間
4057,N,鎧蜥蜴
4058,N,ヘラクレス・ビートル
4059,N,キラー・ビー
4060,R,ゴキボール
4061,N,吸血ノミ
4062,N,ラーバモス
4063,R,グレート・モス
4064,R,クリボー
4065,N,マンモスの墓場
4066,N,グレート・ホワイト
4067,N,オオカミ
4068,N,ハーピィ・レディ
4069,N,ハーピィ・レディ三姉妹
4070,N,タイガー・アックス
4071,N,シルバー・フォング
4072,N,魔物の狩人
4073,SR,究極完全態・グレート・モス
4074,N,ガルーザス
4075,R,千年竜
4076,N,デビル・クラーケン
4077,N,海月-ジェリーフィッシュ-
4078,R,進化の繭
4079,N,海竜神
4080,N,岩石の巨兵
4081,N,人喰い植物
4082,N,クロコダイラス
4083,N,グラップラー
4084,R,アックス・レイダー
4085,N,メガザウラー
4086,N,ワイルド・ラプター
4087,N,屍を貪る竜
4088,UR,真紅眼の黒竜
4089,N,闇晦ましの城
4090,N,カードを狩る死神
4091,N,闇魔界の覇王
4092,N,バロックス
4093,N,ダーク・キメラ
4094,N,メタル・ガーディアン
4095,R,カタパルト・タートル
4096,N,逆転の女神
4097,N,ケンタウロス
4098,N,ミノケンタウロス
4099,N,鎧武者斬鬼
4100,N,地を這うドラゴン
4101,N,マーダーサーカス
4102,N,鎧武者ゾンビ
4103,N,ドラゴン・ゾンビ
4104,N,マーダーサーカス・ゾンビ
4105,N,ゴースト王-パンプキング-
4106,N,格闘戦士アルティメーター
4107,N,邪炎の翼
4108,R,闇の仮面
4109,N,転職の魔鏡
4110,N,黒魔族のカーテン
4111,N,トモザウルス
4112,N,風の精霊
4113,N,シャドウ・ファイター
4114,N,手招きする墓場
4115,R,心眼の女神
4116,N,東方の英雄
4117,N,死の沈黙の天使 ドマ
4118,N,命を食する者
4119,N,ダーク・グレイ
4120,N,白い泥棒
4121,N,カオス・ウィザード
4122,N,ナイトメア・スコーピオン
4123,N,本の精霊 ホーク・ビショップ
4124,N,物陰の協力者
4125,N,地獄の裁判
4126,N,ドリーム・ピエロ
4127,N,眠れる獅子
4128,N,ヤマタノ竜絵巻
4129,N,ダーク・プラント
4130,N,アイアン・ハート
4131,N,セイント・バード
4132,N,戦いの神 オリオン
4133,N,アサシン
4134,N,ラムーン
4135,N,眠り子
4136,N,ウェザー・コントロール
4137,N,オクトバーサー
4138,N,13人目の埋葬者
4139,N,炎の騎士 キラー
4140,N,聖なる鎖
4141,N,死者の腕
4142,N,魔人デスサタン
4143,N,なぞの手
4144,N,竜魂の石像
4145,N,青眼の銀ゾンビ
4146,N,トードマスター
4147,N,デビルツムリ
4148,N,炎を操る者
4149,N,時の魔人 ネクロランサ
4150,N,風の番人 ジン
4151,N,魅惑の怪盗
4152,N,髑髏の寺院
4153,N,モンスター・エッグ
4154,N,闇を司る影
4155,N,ランプの魔人
4156,N,カクタス
4157,N,赤き剣のライムンドス
4158,N,とろける赤き影
4159,N,死神のドクロイゾ
4160,N,ファイヤー・デビル
4161,N,ラーバス
4162,N,ハードアーマー
4163,N,火炎草
4164,N,マンイーター
4165,N,ディッグ・ビーク
4166,N,マグネッツ1号
4167,N,マグネッツ2号
4168,N,悪魔の知恵
4169,N,サファイヤ・リサーク
4170,N,ゼミアの神
4171,N,ジャジメント・ザ・ハンド
4172,N,謎の傀儡師
4173,N,太古の壺
4174,R,暗黒火炎龍
4175,N,深淵の冥王
4176,N,ハープの精
4177,N,大王目玉
4178,N,アーメイル
4179,N,ダーク・プリズナー
4180,N,ハリケル
4181,N,魔天老
4182,N,ファイヤー・アイ
4183,N,モンスタートル
4184,N,キラー・ザ・クロー
4185,N,サターナ
4186,N,アルラウネ
4187,N,ダークシェイド
4188,N,仮面道化
4189,N,ホーリー・パワー
4190,N,ジャグラー
4191,N,コピックス
4192,N,ミラージュ
4193,N,ヘルゲート・ディーグ
4194,N,ファランクス
4195,R,フュージョニスト
4196,N,レッド・エース
4197,N,ララ・ライウーン
4198,N,キーメイス
4199,N,タートル・タイガー
4200,N,魔人 テラ
4201,N,ドローン
4202,N,アンモ・ナイト
4203,N,ゾンビランプ
4204,N,ハッピー・ラヴァー
4205,N,ペンギン・ナイト
4206,N,プチリュウ
4207,N,キラーパンダ
4208,N,デーモン・ビーバー
4209,N,ゴースト
4210,N,マキャノン
4211,N,ドローバ
4212,N,グロス
4213,N,スピック
4214,N,プチテンシ
4215,N,ダークキラー
4216,N,スティング
