KONAMI ID,レアリティ,カード名,リンク
4007,UR,青眼の白龍,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4007
4008,N,ホーリー・エルフ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4008
4009,N,サイクロプス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4009
4010,N,ベビードラゴン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4010
4011,N,ガーゴイル,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4011
4012,N,グレムリン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4012
4013,N,砦を守る翼竜,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4013
4014,N,きのこマン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4014
4015,N,ヘルバウンド,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4015
4016,N,暗黒の竜王,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4016
4017,N,剣竜,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4017
4018,N,バーバリアン2号,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4018
4019,N,タイホーン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4019
4020,N,牛魔人,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4020
4021,R,炎の剣士,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4021
4022,R,時の魔術師,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4022
4023,N,封印されし者の右足,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4023
4024,N,封印されし者の左足,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4024
4025,N,封印されし者の右腕,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4025
4026,N,封印されし者の左腕,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4026
4027,SR,封印されしエクゾディア,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4027
4028,SR,デーモンの召喚,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4028
4029,N,邪悪なるワーム・ビースト,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4029
4030,N,ワイト,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4030
4031,N,インプ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4031
4032,N,ミノタウルス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4032
4033,N,ルイーズ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4033
4034,N,岩窟魔人オーガ・ロック,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4034
4035,N,マウンテン・ウォーリアー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4035
4036,N,アンデット・ウォーリアー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4036
4037,N,デビル・ドラゴン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4037
4038,N,二頭を持つキング・レックス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4038
4039,R,ジャッジ・マン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4039
4040,N,闇・道化師のサギー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4040
4041,UR,ブラック・マジシャン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4041
4042,N,メデューサの亡霊,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4042
4043,N,竜騎士ガイア,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4043
4044,N,暗黒騎士ガイア,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4044
4045,N,カース・オブ・ドラゴン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4045
4046,N,壺魔人,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4046
4047,R,エルフの剣士,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4047
4048,N,幻想師・ノー・フェイス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4048
4049,N,カルボナーラ戦士,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4049
4050,N,ホーリー・ドール,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4050
4051,N,エレキッズ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4051
4052,N,グリフォール,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4052
4053,N,サイガー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4053
4054,R,クリッター,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4054
4055,N,ビック・アント,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4055
4056,N,昆虫人間,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4056
4057,N,鎧蜥蜴,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4057
4058,N,ヘラクレス・ビートル,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4058
4059,N,キラー・ビー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4059
4060,R,ゴキボール,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4060
4061,N,吸血ノミ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4061
4062,N,ラーバモス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4062
4063,R,グレート・モス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4063
4064,R,クリボー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4064
4065,N,マンモスの墓場,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4065
4066,N,グレート・ホワイト,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4066
4067,N,オオカミ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4067
4068,N,ハーピィ・レディ,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4068
4069,N,ハーピィ・レディ三姉妹,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4069
4070,N,タイガー・アックス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4070
4071,N,シルバー・フォング,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4071
4072,N,魔物の狩人,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4072
4073,SR,究極完全態・グレート・モス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4073
4074,N,ガルーザス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4074
4075,R,千年竜,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4075
4076,N,デビル・クラーケン,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4076
4077,N,海月-ジェリーフィッシュ-,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4077
4078,R,進化の繭,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4078
4079,N,海竜神,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4079
4080,N,岩石の巨兵,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4080
4081,N,人喰い植物,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4081
4082,N,クロコダイラス,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4082
4083,N,グラップラー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4083
4084,R,アックス・レイダー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4084
4085,N,メガザウラー,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4085
4086,N,ワイルド・ラプター,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4086
4087,N,屍を貪る竜,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4087
4088,UR,真紅眼の黒竜,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4088
4089,N,闇晦ましの城,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4089
4090,N,カードを狩る死神,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4090
4091,N,闇魔界の覇王,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4091
